title,artist,release,year,position
Listen To Your Heart,Roxette,1988,2014,1168
Radioactive,Imagine Dragons,2012,2014,1169
The Way We Were,Barbra Streisand,1973,2014,1170
50 Ways To Leave Your Lover,Paul Simon,1976,2014,1171
De Wedstrijd,Bram Vermeulen,1991,2014,1172
Broken Wings,Mr Mister,1986,2014,1173
Meer Kan Het Niet Zijn,Blof & Sabrina Starke,2011,2014,1174
Mr. Brightside,The Killers,2005,2014,1175
Love Is All Around,Wet Wet Wet,1994,2014,1176
Sylvia,Focus,1972,2014,1177
1979,Smashing Pumpkins,1996,2014,1178
Wild Places,Duncan Browne,1979,2014,1179
You'll Never Walk Alone,Lee Towers,1976,2014,1180
Geloven In Het Leven,3JS,2010,2014,1181
Mijn Gebed,DC Lewis,1970,2014,1182
Isn't She Lovely,Stevie Wonder,1976,2014,1183
Fireflies,Owl City,2009,2014,1184
Always On My Mind,Willie Nelson,1984,2014,1185
Jessica,Allman Brothers Band,1976,2014,1186
Ik zou het zo weer overdoen,Marco Borsato & Trijntje Oosterhuis,2013,2014,1187
Brilliant Disguise,Bruce Springsteen,1987,2014,1188
Voltooid Verleden Tijd,Is Ook Schitterend,1997,2014,1189
Skinny Love,Birdy,2011,2014,1190
Sunny Afternoon,The Kinks,1966,2014,1191
Calypso,John Denver,1975,2014,1192
Spanish Stroll,Mink DeVille,1977,2014,1193
Sure Know Something,Kiss,1979,2014,1194
Leave The Light On,Beth Hart,2003,2014,1195
The Hardest Part,Coldplay,2006,2014,1196
Vlieg Met Me Mee,Paul De Leeuw,1992,2014,1197
If There's Something,Roxy Music,1972,2014,1198
A Thing Called Love,Johnny Cash,1972,2014,1199
Shiny Happy People,R.E.M.,1991,2014,1200
I Got A Name,Jim Croce,1975,2014,1201
Mannenharten,Blof & Nielson,2013,2014,1202
Ik Leef Niet Meer Voor Jou,Marco Borsato,1996,2014,1203
Blinded By The Light,Manfred Mann's Earth band,1976,2014,1204
Stranger In Moscow,Michael Jackson,1996,2014,1205
Some Nights,Fun.,2012,2014,1206
We Belong To The Night,Ellen Foley,1979,2014,1207
Guilty,Barbra Streisand,1980,2014,1208
Memories,Earth & Fire,1972,2014,1209
The Promise You Made,Cock Robin,1986,2014,1210
Don't Stop Till You Get Enough,Michael Jackson,1979,2014,1211
Senza Una Donna,Zucchero Fornaciari,1988,2014,1212
Les Lacs Du Connemara,Michel Sardou,1982,2014,1213
Spicks And Specks,Bee Gees,1967,2014,1214
1999,Prince,1982,2014,1215
Life In Technicolor II,Coldplay,2009,2014,1216
Damn Those Eyes,Kane,1999,2014,1217
Handle With Care,Traveling Wilburys,1988,2014,1218
Violet Hill,Coldplay,2008,2014,1219
Home,Simply Red,2003,2014,1220
Twist In My Sobriety,Tanita Tikaram,1988,2014,1221
Why,Annie Lennox,1992,2014,1222
When A Man Loves A Woman,Percy Sledge,1966,2014,1223
Superheroes,The Script,2014,2014,1224
I'll Be Over You,Toto,1986,2014,1225
You Can Leave Your Hat On,Joe Cocker,1986,2014,1226
Annabel,Hans De Booij,1983,2014,1227
Bright Side Of The Road,Van Morrison,1979,2014,1228
Love Shack,The B-52'S,1989,2014,1229
A Town Called Malice,The Jam,1980,2014,1230
Raspberry Beret,Prince,1985,2014,1231
The Devil Went Down To Georgia,Charlie Daniels Band,1979,2014,1232
J'me Tire,Maitre Gims,2013,2014,1233
I Want It That Way,Backstreet Boys,1999,2014,1234
Charlie Brown,Coldplay,2011,2014,1235
Feel Like Making Love,Bad Company,1975,2014,1236
Ich Bin Wie Du,Marianne Rosenberg,1976,2014,1237
Kiss,Prince,1986,2014,1238
Mmm Mmm Mmm Mmm,Crash Test Dummies,1994,2014,1239
I'm Just A Singer (In A Rock & Roll Band),The Moody Blues,1973,2014,1240
Is Dit Alles,Doe Maar,1982,2014,1241
One Moment In Time,Whitney Houston,1988,2014,1242
Easy Lover,Phil Collins & Philip Bailey,1985,2014,1243
The Closest Thing To Crazy,Katie Melua,2004,2014,1244
Don't Know Why,Norah Jones,2002,2014,1245
Lay Lady Lay,Bob Dylan,1969,2014,1246
Wer Bisto,Twarres,2000,2014,1247
Why Does My Heart Feel So Bad?,Moby,1999,2014,1248
Wind Beneath My Wings,Bette Midler,1980,2014,1249
Golden Years,David Bowie,1976,2014,1250
Later Als Ik Groter Ben,Blof,2012,2014,1251
Love On The Rocks,Neil Diamond,1980,2014,1252
How Can We Hang On To A Dream,Tim Hardin,1967,2014,1253
Still Crazy After All These Years,Paul Simon,1975,2014,1254
Cambodia,Kim Wilde,1981,2014,1255
Love Games,Level 42,1981,2014,1256
Heaven For Everyone,Queen,1995,2014,1257
I'll Have To Say I Love You In A Song,Jim Croce,1974,2014,1258
Vriendschap,Het Goede Doel,1983,2014,1259
Go Now,The Moody Blues,1965,2014,1260
Lucky Man,Emerson Lake & Palmer,1971,2014,1261
Does Your Mother Know,ABBA,1979,2014,1262
Nathalie,Gilbert Becaud,1964,2014,1263
Too Much Love Will Kill You,Brian May,1992,2014,1264
Green Green Grass Of Home,Tom Jones,1966,2014,1265
Fairground,Simply Red,1995,2014,1266
Father Figure,George Michael,1988,2014,1267
Do It Again,Steely Dan,1972,2014,1268
You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,1978,2014,1269
Run To The Water,Live,2000,2014,1270
Burning Love,Elvis Presley,1972,2014,1271
Knowing Me Knowing You,ABBA,1977,2014,1272
Will You Be There,Michael Jackson,1993,2014,1273
Sacrifice,Anouk,1998,2014,1274
Woman From Tokyo,Deep Purple,1973,2014,1275
Zing Voor Me,Lange Frans & Thé Lau,2010,2014,1276
Save Tonight,Eagle Eye Cherry,1998,2014,1277
Just The Way You Are,Bruno Mars,2010,2014,1278
Ben Ik Te Min,Armand,1967,2014,1279
Beneath Your Beautiful,Labrinth feat. Emeli Sandé,2012,2014,1280
De Bom,Doe Maar,1982,2014,1281
Don't Bring Me Down,Electric Light Orchestra,1979,2014,1282
For No One,The Beatles,1966,2014,1283
Lady d'Arbanville,Cat Stevens,1970,2014,1284
Wat Is Dromen,Ellen Ten Damme & 3JS,2010,2014,1285
One Of Us,ABBA,1981,2014,1286
The Jean Genie,David Bowie,1973,2014,1287
Can't Get It Out Of My Head,Electric Light Orchestra,1975,2014,1288
Love In An Elevator,Aerosmith,1989,2014,1289
Modern World,Anouk,2008,2014,1290
Don't Leave Me This Way,The Communards,1986,2014,1291
Into Temptation,Crowded House,1989,2014,1292
Somebody To Love,Jefferson Airplane,1970,2014,1293
The Road To Mandalay,Robbie Williams,2001,2014,1294
Why,The Cats,1969,2014,1295
Rendez-Vous 6:02,UK,1979,2014,1296
Twist And Shout,The Beatles,1963,2014,1297
Wannabe,Spice Girls,1996,2014,1298
Fantastig Toch,Eva De Roovere,2007,2014,1299
Girl You'll Be A Woman Soon,Neil Diamond,1971,2014,1300
Fame,David Bowie,1975,2014,1301
Starlight Dancer,Kayak,1977,2014,1302
I Will Always Love You,Dolly Parton,1983,2014,1303
Stuck In The Middle With You,Stealers Wheel,1973,2014,1304
Gimme Gimme Gimme,ABBA,1979,2014,1305
Sylvia's Mother,Dr Hook,1972,2014,1306
All I Want For Christmas Is You,Mariah Carey,1994,2014,1307
Peaceful Easy Feelin',Eagles,1972,2014,1308
Meester Prikkebeen,Boudewijn de Groot,1968,2014,1309
Mr. Tambourine Man,The Byrds,1965,2014,1310
Liefste Mijn Liefste,Robert Long,1974,2014,1311
Silenced By The Night,Keane,2012,2014,1312
My Baby Just Cares For Me,Nina Simone,1987,2014,1313
Living Doll,Cliff Richard & The Young Ones,1986,2014,1314
Unbeschreiblich Weiblich,Nina Hagen,1979,2014,1315
Angel Of Harlem,U2,1988,2014,1316
Love Goes On,The Common Linnets,2014,2014,1317
Little Black Submarines,The Black Keys,2012,2014,1318
Subterranean Homesick Blues,Bob Dylan,1965,2014,1319
Ruby,Kaiser Chiefs,2007,2014,1320
You Give Love A Bad Name,Bon Jovi,1986,2014,1321
Arnold Layne,Pink Floyd,1971,2014,1322
Bonfire Heart,Blunt James,2013,2014,1323
You Really Got Me,The Kinks,1964,2014,1324
It's All Over Now,The Rolling Stones,1964,2014,1325
Food For Thought,UB40,1980,2014,1326
Send me an angel,Scorpions,1991,2014,1327
Als De Morgen Is Gekomen,Jan Smit,2006,2014,1328
No Regrets,The Walker Brothers,1976,2014,1329
Rosanne,Nick & Simon,2008,2014,1330
Old Town,Philip Lynott,1982,2014,1331
Waarom Nou Jij,Marco Borsato,1994,2014,1332
It's Over,Level 42,1987,2014,1333
Let It Grow,Eric Clapton,1974,2014,1334
Same Love,Macklemore & Ryan Lewis,2013,2014,1335
Off The Wall,Michael Jackson,1979,2014,1336
In Between Days,The Cure,1985,2014,1337
(They Long To Be) Close To You,Carpenters,1970,2014,1338
Live To Tell,Madonna,1986,2014,1339
La Comparsa,ZZ en de Maskers,1964,2014,1340
Honesty,Billy Joel,1979,2014,1341
Late In The Evening,Paul Simon,1980,2014,1342
All Summer Long,Kid Rock,2008,2014,1343
Rockin' All Over The World,Status Quo,1977,2014,1344
Shout,The Trammps,1975,2014,1345
Hou Vol Hou Vast,Blof,2011,2014,1346
Don't Let The Sun Go Down On Me,George Michael & Elton John,1991,2014,1347
This Is My Life,Shirley Bassey,1979,2014,1348
Lady Jane,The Rolling Stones,1966,2014,1349
Right Next Door,The Robert Cray Band,1987,2014,1350
No Ordinary Love,Sade,1992,2014,1351
Family Portrait,Pink,2003,2014,1352
The Head And The Heart,Chris De Burgh,1984,2014,1353
Where Have I Been Wrong,The Cats,1970,2014,1354
Nights On Broadway,Bee Gees,1975,2014,1355
This Strange Effect,Dave Berry,1965,2014,1356
Hurricane,Ilse DeLange,2012,2014,1357
If I Were A Boy,Beyoncé,2008,2014,1358
Verdammt Ich Lieb' Dich,Matthias Reim,1990,2014,1359
Rappers Delight,Sugarhill Gang,1979,2014,1360
Just Like A Woman,Bob Dylan,1966,2014,1361
Love Me Tender,Elvis Presley,1956,2014,1362
White Flag,Dido,2003,2014,1363
The Reflex,Duran Duran,1984,2014,1364
Here There And Everywhere,The Beatles,1966,2014,1365
Every Kinda People,Robert Palmer,1978,2014,1366
Smoorverliefd,Doe Maar,1981,2014,1367
Who Are You,The Who,1978,2014,1368
Mr. Rock & Roll,Amy Macdonald,2008,2014,1369
Waiting For The Sun,The Doors,1971,2014,1370
Dance The Night Away,The Mavericks,1998,2014,1371
Cold As Ice,Foreigner,1977,2014,1372
Sunrise,Norah Jones,2004,2014,1373
See Emily Play,Pink Floyd,1967,2014,1374
Moves Like Jagger,Maroon 5 & Christina Aguilera,2011,2014,1375
Foolish Games,Jewel,1997,2014,1376
Midnight Train To Georgia,Gladys Knight & The Pips,1973,2014,1377
Beautiful Goodbye,Amanda Marshall,1995,2014,1378
Lord Of The Ages,Magna Carta,1973,2014,1379
Een Meisje Van 16,Boudewijn de Groot,1965,2014,1380
So Far Away,Dire Straits,1985,2014,1381
Hemingway,Blof,2007,2014,1382
The Ballad Of Lucy Jordan,Marianne Faithfull,1979,2014,1383
Wishful Thinking,China Crisis,1984,2014,1384
(Walk Me Out) In The Morning Dew,Long John Baldry,1981,2014,1385
Fly Like An Eagle,Steve Miller Band,1976,2014,1386
That Man,Caro Emerald,2010,2014,1387
She's The One,Robbie Williams,1999,2014,1388
Six Degrees of Separation,The Script,2012,2014,1389
I've Got You Under My Skin,Frank Sinatra,1956,2014,1390
La Isla Bonita,Madonna,1987,2014,1391
Black Velvet,Alannah Myles,1990,2014,1392
Diamante,Zucchero Fornaciari,1986,2014,1393
Let's Stay Together,Al Green,1971,2014,1394
Laat Me Alleen,Rita Hovink,1977,2014,1395
Cecilia,Simon & Garfunkel,1970,2014,1396
Suite: Judy Blue Eyes,Crosby Stills & Nash,1969,2014,1397
One Love - People Get Ready,Bob Marley & The Wailers,1984,2014,1398
Hijo De La Luna,Mecano,1990,2014,1399
Carry On,Crosby Stills Nash & Young,1970,2014,1400
Against The Wind,Bob Seger,1980,2014,1401
West End Girls,Pet Shop Boys,1986,2014,1402
Met Hart En Ziel,Trockener Kecks,1990,2014,1403
Steppin' Out,Joe Jackson,1982,2014,1404
Time Stood Still,Bad English,1991,2014,1405
De Peel In Brand,Rowwen Hèze,2005,2014,1406
Eres Tu,Mocedades,1973,2014,1407
Don't Look Back,Boston,1978,2014,1408
After The Love Has Gone,Earth Wind & Fire,1979,2014,1409
Let's Go Crazy,Prince,1985,2014,1410
Lily Was Here,Candy Dulfer & Dave Stewart,1989,2014,1411
Legs,ZZ Top,1985,2014,1412
Euphoria,Loreen,2012,2014,1413
Grenade,Bruno Mars,2010,2014,1414
It's A Sin,Pet Shop Boys,1987,2014,1415
Freedom,Racoon,2012,2014,1416
Hedonism,Skunk Anansie,1997,2014,1417
Mr. Blue,Rene Klijn,1993,2014,1418
What's A Woman,Vaya con Dios,1990,2014,1419
Anak,Freddie Aguilar,1980,2014,1420
Always On The Run,Lenny Kravitz,1991,2014,1421
Pamela,Toto,1988,2014,1422
Crazy Horses,The Osmonds,1972,2014,1423
We Come 1,Faithless,2001,2014,1424
Durgerdam Slaapt,Zijlstra,2002,2014,1425
I Can't Dance,Genesis,1992,2014,1426
Malle Babbe,Rob de Nijs,1975,2014,1427
All For Nothing,Kensington,2014,2014,1428
Hey Ya!,Outkast,2004,2014,1429
Aquarius / Let The Sunshine In,The 5th Dimension,1969,2014,1430
Relax,Frankie goes to Hollywood,1984,2014,1431
Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,1972,2014,1432
Out Of Space,Prodigy,1993,2014,1433
Song Sung Blue,Neil Diamond,1972,2014,1434
On The Border,Al Stewart,1977,2014,1435
Je Veux De L'amour,Raymond van het Groenewoud,1980,2014,1436
Open Einde,Rob de Nijs,1987,2014,1437
Rosalyn,Vitesse,1982,2014,1438
Wicked Way,Waylon,2009,2014,1439
Roof Garden,Al Jarreau,1982,2014,1440
Tragedy,Bee Gees,1979,2014,1441
Time Of The Season,The Zombies,1969,2014,1442
Promised You A Miracle,Simple Minds,1982,2014,1443
Hello Again,Neil Diamond,1981,2014,1444
Weather With You,Crowded House,1992,2014,1445
Luka,Suzanne Vega,1987,2014,1446
Laugh About It,Racoon,2005,2014,1447
Where Are We Now,David Bowie,2013,2014,1448
Birmingham,Randy Newman,1974,2014,1449
Bestel Mar,Rowwen Heze,1992,2014,1450
Only Love Can Break Your Heart,Neil Young,1970,2014,1451
R U Kiddin' Me,Anouk,1999,2014,1452
You Make Lovin' Fun,Fleetwood Mac,1978,2014,1453
Wereld Zonder Jou,Marco Borsato & Trijntje Oosterhuis,1997,2014,1454
When You Say Nothing At All,Ronan Keating,1999,2014,1455
Our Day Will Come,Amy Winehouse,2011,2014,1456
Zuid-Afrika,Karin Bloemen,1991,2014,1457
Chariots Of Fire,Vangelis,1982,2014,1458
Livin' Thing,Electric Light Orchestra,1976,2014,1459
Mooier Dan Nu,De Dijk,2009,2014,1460
Big In Japan,Alphaville,1984,2014,1461
Cry Me A River,Justin Timberlake,2002,2014,1462
Tell Him,Barbra Streisand,1997,2014,1463
Magic man,Heart,1976,2014,1464
The Day After Tomorrow,Saybia,2002,2014,1465
Diane,Therapy?,1995,2014,1466
Gangsta's Paradise,Coolio,1995,2014,1467
Love Is The Drug,Roxy Music,1976,2014,1468
Memory Motel,The Rolling Stones,1976,2014,1469
Master of Puppets,Metallica,1986,2014,1470
Walk On,U2,2000,2014,1471
Times Were When,The Cats,1968,2014,1472
Als De Dag Van Toen,Reinhard Mey,1975,2014,1473
Ace Of Spades,Motörhead,1980,2014,1474
Fire,The Pointer Sisters,1979,2014,1475
The 5th,Ekseption,1969,2014,1476
Sadeness Part 1,Enigma,1990,2014,1477
Theme From 'New York New York',Frank Sinatra,1980,2014,1478
I'll Find My Way Home,Jon & Vangelis,1982,2014,1479
La Vie En Rose,Grace Jones,1977,2014,1480
The Road Ahead,City To City,1999,2014,1481
Let The Music Play,Barry White,1976,2014,1482
Eve Of Destruction,Barry McGuire,1965,2014,1483
Firework,Katy Perry,2010,2014,1484
La Solitudine,Laura Pausini,1993,2014,1485
I Won't Let You Down,PHD,1981,2014,1486
Thank You,Alanis Morissette,1998,2014,1487
All Of My Heart,ABC,1982,2014,1488
A Real Mother For Ya ,Johnny Guitar Watson,1977,2014,1489
I Saw Her Standing There,The Beatles,1963,2014,1490
Are You Lonesome Tonight,Elvis Presley,1960,2014,1491
Laat Het Los,Van Dik Hout,1996,2014,1492
Wake Me Up Before You Gogo,Wham,1984,2014,1493
Forever Man,Eric Clapton,1985,2014,1494
Nutbush City Limits,Ike & Tina Turner,1974,2014,1495
Leun Op Mij,Ruth Jacott,1999,2014,1496
Ode To My Family,The Cranberries,1995,2014,1497
I've Just Lost Somebody,Golden Earring,1968,2014,1498
La Mamma,Charles Aznavour,1964,2014,1499
Waarom Fluister Ik Je Naam Nog,Benny Neyman,1985,2014,1500
Witchy Woman,Eagles,1972,2014,1501
Greatest Love Of All,Whitney Houston,1986,2014,1502
Happiness,Jonathan Jeremiah,2011,2014,1503
Tous Les Garcons Et Les Filles,Françoise Hardy,1963,2014,1504
Just The Way You Are,Billy Joel,1978,2014,1505
A Little Less Conversation,Elvis vs JXL,2002,2014,1506
KL 204 (Als Ik God Was),Peter Koelewijn,1978,2014,1507
Take A Chance On Me,ABBA,1977,2014,1508
Days,The Kinks,1968,2014,1509
December 1963 (Oh What A Night),The Four Seasons,1976,2014,1510
Eyes Without A Face,Billy Idol,1984,2014,1511
The Story In Your Eyes,The Moody Blues,1971,2014,1512
Sound Of The Screaming Day,Golden Earrings,1967,2014,1513
Laura,Jan Smit,2005,2014,1514
Voetstuk Staan,Acda en De Munnik,2012,2014,1515
Weekend,Earth & Fire,1979,2014,1516
Tonight Tonight,Smashing Pumpkins,1995,2014,1517
Where Do You Go To My Lovely,Peter Sarstedt,1969,2014,1518
Cornflake Girl,Tori Amos,1994,2014,1519
A Brand New Day,The Wiz Stars,1978,2014,1520
Liquid Lunch,Caro Emerald,2013,2014,1521
The Great Escape,Ilse DeLange,2007,2014,1522
Homeward Bound,Simon & Garfunkel,1966,2014,1523
A Hard Day's Night,The Beatles,1964,2014,1524
Dynamite,Mud,1974,2014,1525
Stiekem Gedanst,Toontje Lager,1983,2014,1526
Davy's On The Road Again,Manfred Mann's Earth band,1978,2014,1527
I Surrender ,Saybia,2004,2014,1528
Jealous Guy,Roxy Music,1981,2014,1529
Use Somebody,Laura Jansen,2010,2014,1530
Emma,Hot Chocolate,1974,2014,1531
Making Plans For Nigel,XTC,1979,2014,1532
Goodbye Stranger,Supertramp,1979,2014,1533
Vogue,Madonna,1990,2014,1534
Soul Man,Sam & Dave,1967,2014,1535
I Would Die 4 U,Prince,1984,2014,1536
Time Is On My Side,The Rolling Stones,1965,2014,1537
Good Year For The Roses,Elvis Costello,1981,2014,1538
Weekend Love,Golden Earring,1979,2014,1539
I Want You Back,Jackson 5,1970,2014,1540
Wanna Be Startin' Something,Michael Jackson,1983,2014,1541
Time Waits For No One,The Rolling Stones,1974,2014,1542
Don't Go,Yazoo,1982,2014,1543
Swim With Sam,A Balladeer,2002,2014,1544
Bad Romance,Lady Gaga,2009,2014,1545
As,Stevie Wonder,1976,2014,1546
You Don't Fool Me,Queen,1996,2014,1547
Two Tribes,Frankie goes to Hollywood,1984,2014,1548
Lovely Day,Bill Withers,1978,2014,1549
One Day I'll Fly Away,Randy Crawford,1980,2014,1550
Wasted Words,Motions,1965,2014,1551
Yellow Submarine,The Beatles,1966,2014,1552
Air,Ekseption,1969,2014,1553
Single Ladies (put a ring on it),Beyoncé,2008,2014,1554
Bad,Michael Jackson,1987,2014,1555
Woman,Anouk,2009,2014,1556
Half Of My Heart,John Mayer & Taylor Swift,2010,2014,1557
Versailles,White Soxx,1981,2014,1558
In These Arms,Bon Jovi,1993,2014,1559
Gute Nacht Freunde,Reinhard Mey,1974,2014,1560
Took A Hit,Racoon,2011,2014,1561
Rikki Don't Lose That Number,Steely Dan,1974,2014,1562
Hero,Enrique Iglesias,2001,2014,1563
Demasiado Corazon,Mink DeVille,1984,2014,1564
Don't Stand To Close To Me,The Police,1980,2014,1565
Love Rears Its Ugly Head,Living Colour,1990,2014,1566
We Can Work It Out,The Beatles,1965,2014,1567
You Can't Hurry Love,Phil Collins,1982,2014,1568
The Name Of The Game,ABBA,1977,2014,1569
While You See A Chance,Steve Winwood,1981,2014,1570
Sing Our Own Song,UB40,1986,2014,1571
Beautiful,Christina Aguilera,2003,2014,1572
Maybe I'm Amazed,Wings,1977,2014,1573
Marieke,Jacques Brel,1961,2014,1574
Who Says,John Mayer,2009,2014,1575
Embarrassment,Madness,1981,2014,1576
You Win Again,Bee Gees,1987,2014,1577
De Zee,Trijntje Oosterhuis,1996,2014,1578
Fall,Dotan,2014,2014,1579
No Rain,Blind Melon,1993,2014,1580
Dancing With Tears In My Eyes,Ultravox,1984,2014,1581
Chop Suey!,System Of A Down,2001,2014,1582
She Moves In Her Own Way,The Kooks,2006,2014,1583
A Message To You Rudy,The Specials,1980,2014,1584
Blue Hotel,Chris Isaak,1987,2014,1585
Woman,John Lennon,1981,2014,1586
Enola Gay ,Orchestral Manoeuvres In The Dark,1980,2014,1587
The Model,Kraftwerk,1978,2014,1588
My Ever Changing Moods,Style Council,1984,2014,1589
A Salty Dog,Procol Harum,1969,2014,1590
Something Happened On The Way To Heaven,Phil Collins,1990,2014,1591
Yesterday Once More,Carpenters,1973,2014,1592
He'll Have To Go,Ry Cooder,1976,2014,1593
Ho Hey,The Lumineers,2013,2014,1594
I Close My Eyes (And Count To Ten),Dusty Springfield,1968,2014,1595
Born To Be Alive,Patrick Hernandez,1979,2014,1596
Under My Thumb,The Rolling Stones,1966,2014,1597
This Time,John Legend,2009,2014,1598
Crying,Aerosmith,1993,2014,1599
I Got You Babe,UB40 & Chrissie Hynde,1985,2014,1600
Everything Has Changed,Taylor Swift ft. Ed Sheeran,2013,2014,1601
Netherlands,Dan Fogelberg,1977,2014,1602
Hair,Zen,1968,2014,1603
Crazy In Love,Beyoncé,2002,2014,1604
Love me again,John Newman,2013,2014,1605
Ain't Nobody,Rufus & Chaka Khan,1984,2014,1606
Home,Edward Sharpe & The Magnetic Zeros,2011,2014,1607
Long Train Runnin',The Doobie Brothers,1973,2014,1608
I've Seen All Good People,Yes,1971,2014,1609
Mississippi,Pussycat,1975,2014,1610
Cose Della Vita,Tina Turner & Eros Ramazzotti,1998,2014,1611
The drugs don't work,The Verve,1997,2014,1612
Raise Your Glass,Pink,2010,2014,1613
That Was Yesterday,Foreigner,1985,2014,1614
Poker Face,Lady Gaga,2009,2014,1615
Il Est Cinq Heures Paris S'Éveille,Jacques Dutronc,1968,2014,1616
Theme From Mahogany,Diana Ross,1976,2014,1617
Refugee,Tom Petty,1980,2014,1618
Night Fever,Bee Gees,1978,2014,1619
Drive,The Cars,1984,2014,1620
Crazy,Gnarls Barkley,2006,2014,1621
Sukiyaki,Kyu Sakamoto,1963,2014,1622
Accidentally In Love,Counting Crows,2004,2014,1623
'n Beetje Verliefd,Andre Hazes,1981,2014,1624
Secret Garden,Bruce Springsteen,1995,2014,1625
You're The Devil In Disguise,Elvis Presley,1963,2014,1626
Boy In The Bubble,Paul Simon,1987,2014,1627
Mon Amour,BZN,1976,2014,1628
Down On The Corner,Creedence Clearwater Revival,1969,2014,1629
Can't Stand Losing You,The Police,1979,2014,1630
Sweet Jane,Velvet Underground,1974,2014,1631
Oye Como Va,Santana,1971,2014,1632
I'm Not The Only One,Sam Smith,2014,2014,1633
Jungleland,Bruce Springsteen,1975,2014,1634
Merry Xmas Everybody,Slade,1973,2014,1635
Hey There Delilah,Plain White T'S,2007,2014,1636
Stars,Simply Red,1991,2014,1637
Let's Stick Together,Bryan Ferry,1976,2014,1638
There Must Be An Angel,Eurythmics,1985,2014,1639
Oh Pretty Woman,Roy Orbison,1964,2014,1640
After Midnight,Eric Clapton,1970,2014,1641
I Don't Want To Talk About It,Rod Stewart,1977,2014,1642
Ray Of Light,Madonna,1998,2014,1643
If,Bread,1971,2014,1644
Ann,Q65,1966,2014,1645
Vous Permettez Monsieur,Adamo,1964,2014,1646
We Were All Wounded At Wounded Knee,Redbone,1973,2014,1647
Pa,Doe Maar,1983,2014,1648
You've Lost That Loving Feeling,The Righteous Brothers,1965,2014,1649
Time After Time,Cyndi Lauper,1984,2014,1650
All Right Now,Free,1970,2014,1651
Treasure,Bruno Mars,2013,2014,1652
Hier,Blof,2000,2014,1653
Water Of Love,Dire Straits,1978,2014,1654
Without You,Harry Nilsson,1972,2014,1655
Reelin' In The Years,Steely Dan,1973,2014,1656
Crazy,Icehouse,1987,2014,1657
Rather Be,Clean Bandit,2014,2014,1658
Lady Madonna,The Beatles,1968,2014,1659
Hard to handle,Black Crowes,1990,2014,1660
Fools Gold,Stone Roses,1990,2014,1661
We Zullen Doorgaan,Ramses Shaffy,1975,2014,1662
Don't Forget To Remember,Bee Gees,1969,2014,1663
Umbrella,The Baseballs,2010,2014,1664
S.O.S.,ABBA,1975,2014,1665
Love Of The Common People,Paul Young,1984,2014,1666
Torn,Natalie Imbruglia,1997,2014,1667
Dichterbij Dan Ooit,Blof,2001,2014,1668
Queen Of Elba,Laura Jansen,2012,2014,1669
Next To Me,Ilse DeLange,2010,2014,1670
Everybody,Backstreet Boys,1997,2014,1671
Tin Soldier,Small Faces,1968,2014,1672
Grand Hotel,Procol Harum,1973,2014,1673
Shaffy Cantate,Ramses Shaffy & Liesbeth List,1965,2014,1674
Wonderful Life,Black,1987,2014,1675
Turn Turn Turn,The Byrds,1965,2014,1676
Hou Me Vast,Volumia!,1998,2014,1677
We Are One,Ilse DeLange,2012,2014,1678
It Ain't Over Till It's Over,Lenny Kravitz,1991,2014,1679
Crack The Shutters,Snow Patrol,2008,2014,1680
Dead Flowers,The Rolling Stones,1971,2014,1681
Cent Mille Chansons,Frida Boccara,1969,2014,1682
Alabama,Neil Young,1972,2014,1683
Maria Maria,Santana feat. Product G&B,2000,2014,1684
The Green Manalishi,Fleetwood Mac,1970,2014,1685
Skandal Im Sperrbezirk,Spider Murphy Gang,1982,2014,1686
Babylon,David Gray,2000,2014,1687
Sorry Seems To Be The Hardest Word,Elton John,1976,2014,1688
A Face In The Crowd,Tom Petty,1990,2014,1689
The End Of The Show,The Cats,1980,2014,1690
Need You Tonight,INXS,1987,2014,1691
What A Fool Believes,The Doobie Brothers,1978,2014,1692
Adios Nonino,Carel Kraayenhof ,2002,2014,1693
Crazy,Aerosmith,1993,2014,1694
Praise You,Fatboy Slim,1998,2014,1695
Haven't Met You Yet,Michael Buble,2009,2014,1696
Seasons,Earth & Fire,1970,2014,1697
As Tears Go By,Marianne Faithfull,1964,2014,1698
Invisible Touch,Genesis,1986,2014,1699
This Is The Last Time,Keane,2005,2014,1700
For What It's Worth,Buffalo Springfield,1967,2014,1701
Oceans,Pearl Jam,1991,2014,1702
Get Up Stand Up,Bob Marley & The Wailers,1973,2014,1703
Thank God I'm a Country Boy,John Denver,1975,2014,1704
Across The Universe,The Beatles,1970,2014,1705
As Long As You Follow,Fleetwood Mac,1988,2014,1706
Pour Que Tu M'Aimes Encore,Celine Dion,1995,2014,1707
Calling Elvis,Dire Straits,1991,2014,1708
Cosi Celeste,Zucchero Fornaciari,1997,2014,1709
War,Bruce Springsteen,1980,2014,1710
Before You Let Me Go,Kane & Ilse DeLange,2003,2014,1711
All I Wanna Do Is Make Love To You,Heart,1990,2014,1712
Room To Move,John Mayall,1970,2014,1713
Patsy,Rein de Vries,1965,2014,1714
Should I Stay Or Should I Go,The Clash,1982,2014,1715
Late Again,Stealers Wheel,1973,2014,1716
La Ballade Des Gens Heureux,Gerard Lenorman,1976,2014,1717
Babooshka,Kate Bush,1980,2014,1718
